Student,LPIPS,SSIM
112590454.png,0.0,1.0
113590051.png,0.2518463134765625,0.6678609636843633
113370239.png,0.2854529917240143,0.6508320894668421
113590045.png,0.2877735197544098,0.5978798635724042
113590039.png,0.2938253879547119,0.6596815625320313
113590021.png,0.2968813180923462,0.6422275946572436
113590001.png,0.299893856048584,0.6043789131584133
111590047.png,0.30257648229599,0.6526037757189839
113590061.png,0.3030153512954712,0.6393025686327856
113590003.png,0.3038578927516937,0.6581870771312409
113590011.png,0.3045627176761627,0.5808765806822287
111590062.png,0.30523332953453064,0.6515963356559427
113590031.png,0.3067077398300171,0.6390150518956164
113590044.png,0.31146901845932007,0.5967677357369292
112590455.png,0.3146873414516449,0.6364819919587833
113590026.png,0.3156408667564392,0.6679714734899653
113590028.png,0.32006922364234924,0.6198285670847629
113AC1012.png,0.3201659023761749,0.6852262499190188
113590056.png,0.32046055793762207,0.6493068860744936
113590022.png,0.33594441413879395,0.6107028833264517
112590040.png,0.33616670966148376,0.5981853139663376
113590052.png,0.3366105258464813,0.6049948004878499
113590015.png,0.3366827070713043,0.5869494220151418
113590060.png,0.3375134766101837,0.6313507082996852
111590028.png,0.3537771701812744,0.6515836128015587
113590018.png,0.3544149398803711,0.5745055777088883
113590050.png,0.3598260283470154,0.5424106026917832
110590455.png,0.37082788348197937,0.624554744288724
113590059.png,0.37261927127838135,0.5659085004350474
113590002.png,0.37423378229141235,0.6001514967591051
114054809.png,0.38138720393180847,0.6123110993848314
113590049.png,0.3846900463104248,0.5384355515924906
113590004.png,0.388235867023468,0.6976932712617656
113590023.png,0.39231082797050476,0.5268025841376272
113590006.png,0.3923681378364563,0.5465185743727111
113590047.png,0.39301493763923645,0.6828467666670298
113590057.png,0.39940884709358215,0.5739568117065358
113590062.png,0.4082891643047333,0.5298691995266113
113590043.png,0.4184010922908783,0.7051026116768578
113590042.png,0.4211297035217285,0.5796731808230281
113590025.png,0.4231683015823364,0.711426415604055
111590042.png,0.44843590259552,0.7091053666189604
113590010.png,0.455588698387146,0.5523547123552061
111590455.png,0.46967098116874695,0.5192887158026641
113590008.png,0.47701898217201233,0.4485840396389595
